pop_idx,regime,rho,beta,N,T,sigma,jaccard
0,rec,0.1,0.1,1000,50,0.25,0.057333333333333056
0,partial,0.1,0.1,1000,50,0.25,0.09246666666666649
0,no_rec,0.1,0.1,1000,50,0.25,0.001266666666666668
1,rec,0.1,0.1,1000,50,0.25,0.11126666666666651
1,partial,0.1,0.1,1000,50,0.25,0.16640000000000024
1,no_rec,0.1,0.1,1000,50,0.25,0.0014000000000000013
2,rec,0.1,0.1,1000,50,0.25,0.0562666666666664
2,partial,0.1,0.1,1000,50,0.25,0.10719999999999986
2,no_rec,0.1,0.1,1000,50,0.25,0.0010666666666666676
3,rec,0.1,0.1,1000,50,0.25,0.0835333333333331
3,partial,0.1,0.1,1000,50,0.25,0.12806666666666644
3,no_rec,0.1,0.1,1000,50,0.25,0.0009333333333333342
4,rec,0.1,0.1,1000,50,0.25,0.08839999999999996
4,partial,0.1,0.1,1000,50,0.25,0.1409999999999998
4,no_rec,0.1,0.1,1000,50,0.25,0.002066666666666668
5,rec,0.1,0.1,1000,50,0.25,0.07693333333333316
5,partial,0.1,0.1,1000,50,0.25,0.12193333333333319
5,no_rec,0.1,0.1,1000,50,0.25,0.0008000000000000007
6,rec,0.1,0.1,1000,50,0.25,0.07813333333333333
6,partial,0.1,0.1,1000,50,0.25,0.10966666666666659
6,no_rec,0.1,0.1,1000,50,0.25,0.0009333333333333342
7,rec,0.1,0.1,1000,50,0.25,0.056333333333333
7,partial,0.1,0.1,1000,50,0.25,0.0876666666666665
7,no_rec,0.1,0.1,1000,50,0.25,0.001266666666666668
8,rec,0.1,0.1,1000,50,0.25,0.06279999999999981
8,partial,0.1,0.1,1000,50,0.25,0.10626666666666645
8,no_rec,0.1,0.1,1000,50,0.25,0.0010666666666666676
9,rec,0.1,0.1,1000,50,0.25,0.059133333333333093
9,partial,0.1,0.1,1000,50,0.25,0.09819999999999994
9,no_rec,0.1,0.1,1000,50,0.25,0.0010000000000000009
10,rec,0.1,0.1,1000,50,0.25,0.06186666666666652
10,partial,0.1,0.1,1000,50,0.25,0.10406666666666647
10,no_rec,0.1,0.1,1000,50,0.25,0.001200000000000001
11,rec,0.1,0.1,1000,50,0.25,0.06766666666666647
11,partial,0.1,0.1,1000,50,0.25,0.11419999999999983
11,no_rec,0.1,0.1,1000,50,0.25,0.001600000000000001
12,rec,0.1,0.1,1000,50,0.25,0.07379999999999995
