pop_idx,regime,rho,beta,N,T,sigma,jaccard
0,rec,0.1,0.1,1000,15,0.25,0.11622222222222273
0,partial,0.1,0.1,1000,15,0.25,0.19444444444444517
0,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
1,rec,0.1,0.1,1000,15,0.25,0.303111111111113
1,partial,0.1,0.1,1000,15,0.25,0.45066666666666777
1,no_rec,0.1,0.1,1000,15,0.25,0.0015555555555555553
2,rec,0.1,0.1,1000,15,0.25,0.1266666666666673
2,partial,0.1,0.1,1000,15,0.25,0.27422222222222287
2,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
3,rec,0.1,0.1,1000,15,0.25,0.2015555555555565
3,partial,0.1,0.1,1000,15,0.25,0.33200000000000146
3,no_rec,0.1,0.1,1000,15,0.25,0.00022222222222222218
4,rec,0.1,0.1,1000,15,0.25,0.21888888888888972
4,partial,0.1,0.1,1000,15,0.25,0.3664444444444461
4,no_rec,0.1,0.1,1000,15,0.25,0.0028888888888888888
5,rec,0.1,0.1,1000,15,0.25,0.1857777777777788
5,partial,0.1,0.1,1000,15,0.25,0.2988888888888904
5,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
6,rec,0.1,0.1,1000,15,0.25,0.1871111111111117
6,partial,0.1,0.1,1000,15,0.25,0.24933333333333388
6,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
7,rec,0.1,0.1,1000,15,0.25,0.11311111111111176
7,partial,0.1,0.1,1000,15,0.25,0.17622222222222303
7,no_rec,0.1,0.1,1000,15,0.25,0.0017777777777777774
8,rec,0.1,0.1,1000,15,0.25,0.12200000000000055
8,partial,0.1,0.1,1000,15,0.25,0.21755555555555658
8,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
9,rec,0.1,0.1,1000,15,0.25,0.12844444444444514
9,partial,0.1,0.1,1000,15,0.25,0.21466666666666745
9,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
10,rec,0.1,0.1,1000,15,0.25,0.11688888888888935
10,partial,0.1,0.1,1000,15,0.25,0.20333333333333373
10,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
11,rec,0.1,0.1,1000,15,0.25,0.14755555555555613
11,partial,0.1,0.1,1000,15,0.25,0.24133333333333412
11,no_rec,0.1,0.1,1000,15,0.25,0.0017777777777777774
12,rec,0.1,0.1,1000,15,0.25,0.16711111111111207
12,partial,0.1,0.1,1000,15,0.25,0.29688888888889015
12,no_rec,0.1,0.1,1000,15,0.25,0.002222222222222222
13,rec,0.1,0.1,1000,15,0.25,0.1993333333333343
13,partial,0.1,0.1,1000,15,0.25,0.2931111111111127
13,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
14,rec,0.1,0.1,1000,15,0.25,0.1068888888888894
14,partial,0.1,0.1,1000,15,0.25,0.17844444444444496
14,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
15,rec,0.1,0.1,1000,15,0.25,0.17444444444444507
15,partial,0.1,0.1,1000,15,0.25,0.28155555555555667
15,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
16,rec,0.1,0.1,1000,15,0.25,0.15844444444444533
16,partial,0.1,0.1,1000,15,0.25,0.24444444444444532
16,no_rec,0.1,0.1,1000,15,0.25,0.002222222222222222
17,rec,0.1,0.1,1000,15,0.25,0.16333333333333427
17,partial,0.1,0.1,1000,15,0.25,0.28466666666666746
17,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
18,rec,0.1,0.1,1000,15,0.25,0.1773968253968252
18,partial,0.1,0.1,1000,15,0.25,0.2623809523809524
18,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
19,rec,0.1,0.1,1000,15,0.25,0.22266666666666765
19,partial,0.1,0.1,1000,15,0.25,0.3284444444444456
19,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
20,rec,0.1,0.1,1000,15,0.25,0.13644444444444512
20,partial,0.1,0.1,1000,15,0.25,0.19155555555555645
20,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
21,rec,0.1,0.1,1000,15,0.25,0.20644444444444546
21,partial,0.1,0.1,1000,15,0.25,0.2815555555555565
21,no_rec,0.1,0.1,1000,15,0.25,0.0017777777777777774
22,rec,0.1,0.1,1000,15,0.25,0.18200000000000097
22,partial,0.1,0.1,1000,15,0.25,0.3491111111111132
22,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
23,rec,0.1,0.1,1000,15,0.25,0.16866666666666771
23,partial,0.1,0.1,1000,15,0.25,0.269111111111112
23,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
24,rec,0.1,0.1,1000,15,0.25,0.1862222222222232
24,partial,0.1,0.1,1000,15,0.25,0.30755555555555625
24,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
25,rec,0.1,0.1,1000,15,0.25,0.18911111111111187
25,partial,0.1,0.1,1000,15,0.25,0.3275555555555568
25,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
26,rec,0.1,0.1,1000,15,0.25,0.1304444444444453
26,partial,0.1,0.1,1000,15,0.25,0.17222222222222314
26,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
27,rec,0.1,0.1,1000,15,0.25,0.1542222222222231
27,partial,0.1,0.1,1000,15,0.25,0.24422222222222292
27,no_rec,0.1,0.1,1000,15,0.25,0.0017777777777777774
28,rec,0.1,0.1,1000,15,0.25,0.1344444444444451
28,partial,0.1,0.1,1000,15,0.25,0.23777777777777862
28,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
29,rec,0.1,0.1,1000,15,0.25,0.08688888888888915
29,partial,0.1,0.1,1000,15,0.25,0.13933333333333403
29,no_rec,0.1,0.1,1000,15,0.25,0.0
30,rec,0.1,0.1,1000,15,0.25,0.11466666666666718
30,partial,0.1,0.1,1000,15,0.25,0.1888888888888898
30,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
31,rec,0.1,0.1,1000,15,0.25,0.16538095238095343
31,partial,0.1,0.1,1000,15,0.25,0.25955555555555593
31,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
32,rec,0.1,0.1,1000,15,0.25,0.11022222222222268
32,partial,0.1,0.1,1000,15,0.25,0.2171111111111121
32,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
33,rec,0.1,0.1,1000,15,0.25,0.1533333333333342
33,partial,0.1,0.1,1000,15,0.25,0.24177777777777826
33,no_rec,0.1,0.1,1000,15,0.25,0.0015555555555555553
34,rec,0.1,0.1,1000,15,0.25,0.22222222222222265
34,partial,0.1,0.1,1000,15,0.25,0.40288888888889085
34,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
35,rec,0.1,0.1,1000,15,0.25,0.11755555555555615
35,partial,0.1,0.1,1000,15,0.25,0.21022222222222273
35,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
36,rec,0.1,0.1,1000,15,0.25,0.22711111111111146
36,partial,0.1,0.1,1000,15,0.25,0.35222222222222466
36,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
37,rec,0.1,0.1,1000,15,0.25,0.14933333333333407
37,partial,0.1,0.1,1000,15,0.25,0.23733333333333373
37,no_rec,0.1,0.1,1000,15,0.25,0.001333333333333333
38,rec,0.1,0.1,1000,15,0.25,0.21200000000000072
38,partial,0.1,0.1,1000,15,0.25,0.34200000000000147
38,no_rec,0.1,0.1,1000,15,0.25,0.002222222222222222
39,rec,0.1,0.1,1000,15,0.25,0.23333333333333395
39,partial,0.1,0.1,1000,15,0.25,0.4028888888888907
39,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
40,rec,0.1,0.1,1000,15,0.25,0.17244444444444534
40,partial,0.1,0.1,1000,15,0.25,0.292222222222223
40,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
41,rec,0.1,0.1,1000,15,0.25,0.13444444444444512
41,partial,0.1,0.1,1000,15,0.25,0.2475555555555559
41,no_rec,0.1,0.1,1000,15,0.25,0.0006666666666666665
42,rec,0.1,0.1,1000,15,0.25,0.21288888888888968
42,partial,0.1,0.1,1000,15,0.25,0.3306666666666684
42,no_rec,0.1,0.1,1000,15,0.25,0.003555555555555555
43,rec,0.1,0.1,1000,15,0.25,0.19311111111111212
43,partial,0.1,0.1,1000,15,0.25,0.3013333333333347
43,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
44,rec,0.1,0.1,1000,15,0.25,0.16111111111111195
44,partial,0.1,0.1,1000,15,0.25,0.259555555555556
44,no_rec,0.1,0.1,1000,15,0.25,0.001111111111111111
45,rec,0.1,0.1,1000,15,0.25,0.14066666666666747
45,partial,0.1,0.1,1000,15,0.25,0.2113333333333343
45,no_rec,0.1,0.1,1000,15,0.25,0.0019999999999999996
46,rec,0.1,0.1,1000,15,0.25,0.11644444444444497
46,partial,0.1,0.1,1000,15,0.25,0.21733333333333435
46,no_rec,0.1,0.1,1000,15,0.25,0.00044444444444444436
47,rec,0.1,0.1,1000,15,0.25,0.2184444444444451
47,partial,0.1,0.1,1000,15,0.25,0.35755555555555724
47,no_rec,0.1,0.1,1000,15,0.25,0.0015555555555555553
48,rec,0.1,0.1,1000,15,0.25,0.22066666666666762
48,partial,0.1,0.1,1000,15,0.25,0.31955555555555654
48,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
49,rec,0.1,0.1,1000,15,0.25,0.17888888888888968
49,partial,0.1,0.1,1000,15,0.25,0.312444444444446
49,no_rec,0.1,0.1,1000,15,0.25,0.0008888888888888887
0,rec,0.1,0.1,1000,15,1.0,0.22311111111111212
0,partial,0.1,0.1,1000,15,1.0,0.44466666666666727
0,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
1,rec,0.1,0.1,1000,15,1.0,0.2342222222222225
1,partial,0.1,0.1,1000,15,1.0,0.3964444444444466
1,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
2,rec,0.1,0.1,1000,15,1.0,0.21755555555555636
2,partial,0.1,0.1,1000,15,1.0,0.5295555555555559
2,no_rec,0.1,0.1,1000,15,1.0,0.0006666666666666665
3,rec,0.1,0.1,1000,15,1.0,0.1464444444444451
3,partial,0.1,0.1,1000,15,1.0,0.3982222222222234
3,no_rec,0.1,0.1,1000,15,1.0,0.00044444444444444436
4,rec,0.1,0.1,1000,15,1.0,0.1382222222222228
4,partial,0.1,0.1,1000,15,1.0,0.5006666666666664
4,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
5,rec,0.1,0.1,1000,15,1.0,0.21422222222222284
5,partial,0.1,0.1,1000,15,1.0,0.4213333333333347
5,no_rec,0.1,0.1,1000,15,1.0,0.0008888888888888887
6,rec,0.1,0.1,1000,15,1.0,0.14733333333333423
6,partial,0.1,0.1,1000,15,1.0,0.28111111111111237
6,no_rec,0.1,0.1,1000,15,1.0,0.001333333333333333
