pop_idx,regime,rho,beta,N,T,sigma,jaccard
0,rec,0.7,0.7,1000,25,0.25,0.0019918367346938794
0,partial,0.7,0.7,1000,25,0.25,0.16845714285714528
0,no_rec,0.7,0.7,1000,25,0.25,0.0008816326530612251
1,rec,0.7,0.7,1000,25,0.25,0.0018938775510204098
1,partial,0.7,0.7,1000,25,0.25,0.11262857142857208
1,no_rec,0.7,0.7,1000,25,0.25,0.0006857142857142861
2,rec,0.7,0.7,1000,25,0.25,0.001697959183673471
2,partial,0.7,0.7,1000,25,0.25,0.1571591836734719
2,no_rec,0.7,0.7,1000,25,0.25,0.0008489795918367355
3,rec,0.7,0.7,1000,25,0.25,0.0017632653061224505
3,partial,0.7,0.7,1000,25,0.25,0.0011755102040816336
3,no_rec,0.7,0.7,1000,25,0.25,0.0012081632653061236
4,rec,0.7,0.7,1000,25,0.25,0.0017632653061224505
4,partial,0.7,0.7,1000,25,0.25,0.09260408163265409
4,no_rec,0.7,0.7,1000,25,0.25,0.0011428571428571438
5,rec,0.7,0.7,1000,25,0.25,0.001469387755102042
5,partial,0.7,0.7,1000,25,0.25,0.0011102040816326538
5,no_rec,0.7,0.7,1000,25,0.25,0.0009142857142857149
6,rec,0.7,0.7,1000,25,0.25,0.00186122448979592
6,partial,0.7,0.7,1000,25,0.25,0.08545306122449031
6,no_rec,0.7,0.7,1000,25,0.25,0.0011428571428571436
7,rec,0.7,0.7,1000,25,0.25,0.001697959183673471
7,partial,0.7,0.7,1000,25,0.25,0.15611428571428682
7,no_rec,0.7,0.7,1000,25,0.25,0.0012408163265306131
8,rec,0.7,0.7,1000,25,0.25,0.0017632653061224505
8,partial,0.7,0.7,1000,25,0.25,0.0014367346938775523
8,no_rec,0.7,0.7,1000,25,0.25,0.0011102040816326538
9,rec,0.7,0.7,1000,25,0.25,0.0021224489795918385
9,partial,0.7,0.7,1000,25,0.25,0.17276734693877718
9,no_rec,0.7,0.7,1000,25,0.25,0.0010448979591836743
10,rec,0.7,0.7,1000,25,0.25,0.0016653061224489812
10,partial,0.7,0.7,1000,25,0.25,0.13231020408163388
10,no_rec,0.7,0.7,1000,25,0.25,0.0010448979591836743
11,rec,0.7,0.7,1000,25,0.25,0.002057142857142859
11,partial,0.7,0.7,1000,25,0.25,0.10334693877551161
11,no_rec,0.7,0.7,1000,25,0.25,0.0007836734693877556
12,rec,0.7,0.7,1000,25,0.25,0.0015673469387755116
12,partial,0.7,0.7,1000,25,0.25,0.11102040816326676
12,no_rec,0.7,0.7,1000,25,0.25,0.0008163265306122455
13,rec,0.7,0.7,1000,25,0.25,0.00186122448979592
13,partial,0.7,0.7,1000,25,0.25,0.0012408163265306131
13,no_rec,0.7,0.7,1000,25,0.25,0.0012408163265306134
14,rec,0.7,0.7,1000,25,0.25,0.0019591836734693894
14,partial,0.7,0.7,1000,25,0.25,0.11235918367347045
14,no_rec,0.7,0.7,1000,25,0.25,0.0012081632653061236
15,rec,0.7,0.7,1000,25,0.25,0.0015673469387755116
